date,open,high,low,close,volume,amount
2020-01-02,1006.377,1027.156,1006.377,1027.156,59326424,60937492370.144
2020-01-03,1030.676,1043.866,1030.676,1037.757,65949281,68439328002.717
2020-01-06,1030.315,1051.18,1029.398,1034.823,65459139,67738622597.397
2020-01-07,1034.909,1055.991,1027.59,1055.701,74458835,78606266568.335
2020-01-08,1045.936,1073.515,1042.428,1070.852,85168745,91203120920.74
2020-01-09,1079.799,1103.289,1079.799,1096.323,77075169,84499280503.587
2020-01-10,1100.577,1111.924,1092.482,1092.482,62361655,68128985577.71
2020-01-13,1090.186,1136.918,1087.704,1136.918,68990305,78436319579.98999
2020-01-14,1135.541,1168.489,1135.218,1144.354,91056496,104200865423.584
2020-01-15,1139.699,1151.806,1130.492,1150.135,67736571,77906201087.085
2020-01-16,1152.317,1218.946,1152.317,1210.462,95202811,115239385008.68199
2020-01-17,1215.986,1338.183,1215.986,1322.798,146972394,194414788838.412
2020-01-20,1321.169,1370.43,1277.322,1322.02,133268711,176183901316.22
2020-01-21,1314.616,1329.023,1271.492,1271.625,97086822,123458030025.75
2020-01-22,1249.906,1361.457,1235.445,1361.457,117713206,160261468301.142
2020-01-23,1327.501,1388.67,1274.695,1311.006,105992252,138956478325.51202
2020-02-03,1098.494,1172.108,1098.494,1100.28,105982481,116610404194.68
2020-02-04,1131.291,1256.354,1131.291,1256.354,114840843,144280752466.422
2020-02-05,1268.008,1353.017,1268.008,1284.731,127662179,164011558888.849
2020-02-06,1275.635,1338.591,1275.635,1328.094,108394983,143958726552.402
2020-02-07,1332.482,1442.8,1332.482,1442.8,141684188,204421946446.4
2020-02-10,1448.309,1476.297,1414.902,1437.779,128506827,184764417217.233
2020-02-11,1431.429,1442.799,1387.634,1415.879,102248065,144770888024.13498
2020-02-12,1402.613,1513.615,1402.613,1496.883,116401586,174239555256.43802
2020-02-13,1510.689,1582.6,1495.959,1516.204,141741016,214908295423.264
2020-02-14,1515.752,1549.856,1440.702,1467.057,129203797,189549334815.42902
2020-02-17,1477.8,1514.476,1474.399,1514.476,103331957,156493768909.532
2020-02-18,1509.936,1546.096,1509.936,1542.366,107715793,166137176786.238
2020-02-19,1535.206,1546.722,1497.767,1497.767,104711835,156833930972.445
2020-02-20,1502.045,1520.515,1421.076,1457.348,100000713,145735839089.124
2020-02-21,1446.056,1497.573,1446.056,1461.891,84431305,123429364897.755
2020-02-24,1451.902,1478.72,1430.478,1469.732,90737140,133359278246.48
2020-02-25,1422.739,1496.622,1422.739,1482.338,96869216,143592919907.008
2020-02-26,1460.809,1476.044,1375.746,1377.182,97858769,134769335208.95801
