date,open,high,low,close,volume,amount,outstanding_share,turnover
2010-05-25,9.34,10.43,9.34,9.97,15119040.0,486501952.0,22400000.0,0.6749571428571428
2010-05-26,9.47,9.74,9.2,9.43,7299491.0,224526496.0,22400000.0,0.32587013392857145
2010-05-27,9.29,9.48,9.01,9.43,5030436.0,151881840.0,22400000.0,0.22457303571428572
2010-05-28,9.48,9.56,9.3,9.46,4865497.0,150344112.0,22400000.0,0.2172096875
2010-05-31,9.38,9.45,9.08,9.17,3700118.0,112680920.0,22400000.0,0.16518383928571428
2010-06-01,9.06,9.15,8.25,8.49,3901032.0,110748168.0,22400000.0,0.1741532142857143
2010-06-02,8.4,8.51,8.13,8.45,2219289.0,60590992.0,22400000.0,0.09907540178571428
2010-06-03,8.46,8.53,8.26,8.28,2075611.0,57306736.0,22400000.0,0.09266120535714285
2010-06-04,8.27,8.38,8.16,8.36,1437593.0,39042640.0,22400000.0,0.06417825892857143
2010-06-07,8.17,8.55,8.14,8.52,2155080.0,59349920.0,22400000.0,0.09620892857142857
2010-06-08,8.45,8.67,8.45,8.59,2047067.0,57340844.0,22400000.0,0.09138691964285714
2010-06-09,8.64,8.69,8.57,8.67,1956330.0,55314784.0,22400000.0,0.08733616071428571
2010-06-10,8.67,8.82,8.66,8.76,1714304.0,49066184.0,22400000.0,0.07653142857142857
2010-06-11,8.82,9.02,8.76,8.98,2522595.0,73370784.0,22400000.0,0.11261584821428572
2010-06-17,9.04,9.1,8.69,8.69,1900391.0,55310356.0,22400000.0,0.08483888392857143
2010-06-18,8.65,8.69,8.19,8.25,1334653.0,37014888.0,22400000.0,0.05958272321428571
2010-06-21,8.26,8.62,8.19,8.62,1013547.0,27983264.0,22400000.0,0.04524763392857143
2010-06-22,8.59,8.74,8.55,8.61,1029852.0,29153514.0,22400000.0,0.04597553571428571
2010-06-23,8.55,8.58,8.29,8.48,1117735.0,30817934.0,22400000.0,0.049898883928571426
2010-06-24,8.43,8.57,8.42,8.49,784312.0,21766380.0,22400000.0,0.03501392857142857
2010-06-25,8.46,8.49,8.28,8.38,756457.0,20775282.0,22400000.0,0.033770401785714284
2010-06-28,8.38,8.55,8.3,8.41,677381.0,18681292.0,22400000.0,0.030240223214285714
2010-06-29,8.45,8.45,7.72,7.74,1610659.0,42117852.0,22400000.0,0.07190441964285714
2010-06-30,7.7,7.7,7.4,7.57,879035.0,21594382.0,22400000.0,0.03924263392857143
2010-07-01,7.54,7.67,7.49,7.49,609134.0,15065935.0,22400000.0,0.027193482142857144
2010-07-02,7.57,7.57,7.18,7.41,894021.0,21708130.0,22400000.0,0.039911651785714285
2010-07-06,7.41,7.63,7.34,7.61,960172.0,23742824.0,22400000.0,0.042864821428571426
2010-07-07,7.61,7.9,7.58,7.89,1795650.0,45886948.0,22400000.0,0.08016294642857143
2010-07-08,7.93,8.06,7.79,7.97,1618104.0,41913860.0,22400000.0,0.07223678571428571
2010-07-09,7.91,8.22,7.83,8.11,1295338.0,34099008.0,22400000.0,0.057827589285714284
2010-07-12,8.14,8.28,8.08,8.11,1387884.0,37177340.0,22400000.0,0.06195910714285714
