date,open,high,low,close,volume,amount
2020-07-20,166.78,196.98,136.98,141.54,24249000,5648282823.0
2020-07-21,138.59,190.67,134.56,182.89,17589100,4294129852.0
2020-07-22,173.49,189.82,171.99,187.58,12704600,3451125139.0
2020-07-23,183.5,198.84,178.86,187.92,9922500,2792099849.0
2020-07-24,182.21,184.23,160.36,173.04,11386800,2941139825.0
2020-07-27,168.31,172.08,151.97,156.05,8341600,2022673248.0
2020-07-28,157.38,162.62,151.68,159.15,5988000,1413404535.0
2020-07-29,156.4,163.95,153.13,161.07,5479000,1313682351.0
2020-07-30,160.07,170.13,157.62,162.19,6184100,1517629697.0
2020-07-31,158.73,170.5,158.12,166.51,5633900,1393297571.0
2020-08-03,166.79,172.07,164.77,166.44,6973100,1761190268.0
2020-08-04,167.43,168.71,155.36,156.71,5910300,1424481020.0
2020-08-05,164.09,164.09,157.91,158.0,4082800,985212184.0
2020-08-06,156.01,165.07,154.56,162.64,5014700,1211648787.0
2020-08-07,160.72,160.72,148.91,151.64,4854700,1119609716.0
2020-08-10,146.64,150.6,145.3,148.32,2517700,556920400.0
2020-08-11,147.23,150.87,146.04,147.64,2244000,499633183.0
2020-08-12,146.87,147.99,142.28,145.14,2028500,438072864.0
2020-08-13,145.97,146.38,141.28,141.61,1745100,376129254.0
2020-08-14,141.5,142.55,138.26,141.73,1653600,348869120.0
2020-08-17,141.95,146.51,139.72,146.03,2057600,443730208.0
2020-08-18,146.09,146.09,141.48,142.49,1841000,395080689.0
2020-08-19,142.54,142.95,136.49,136.71,1970000,411544224.0
2020-08-20,135.91,138.1,133.3,134.23,1634600,331514787.0
2020-08-21,134.9,136.99,133.97,136.54,1083100,220200893.0
2020-08-24,137.45,138.48,130.87,131.81,2042300,407457568.0
2020-08-25,132.13,133.14,126.28,126.5,2648200,513435433.0
2020-08-26,126.28,127.13,115.44,117.38,3925800,711556544.0
2020-08-27,117.92,125.75,113.43,121.52,3264600,586585063.0
2020-08-28,118.28,118.38,111.76,115.96,3515000,604560558.0
2020-08-31,115.1,117.92,113.09,113.09,2203500,383028320.0
2020-09-01,113.23,115.64,112.44,113.88,1594400,273454844.0
2020-09-02,113.75,114.66,111.15,111.58,1469600,248042528.0
2020-09-03,111.68,114.81,109.25,113.15,2584800,437472224.0
2020-09-04,110.93,121.34,110.93,116.13,3432300,606804208.0
2020-09-07,113.36,114.97,108.74,108.74,2828800,473632336.0
2020-09-08,108.73,108.73,106.38,106.95,1465200,236398576.0
2020-09-09,105.7,110.34,103.02,106.83,2243100,359908876.0
2020-09-10,107.72,110.25,104.58,104.75,1454900,235198490.0
2020-09-11,105.08,108.32,103.39,107.69,1374200,219382706.0
2020-09-14,109.06,111.41,108.39,109.54,1550600,256650383.0
2020-09-15,108.72,113.67,107.22,112.64,2191800,366661789.0
2020-09-16,111.07,113.46,109.99,110.92,1420500,237916832.0
2020-09-17,110.91,118.46,108.91,115.92,3009500,518524428.0
2020-09-18,115.1,117.45,114.44,115.95,1630400,283519704.0
2020-09-21,115.77,117.7,112.75,113.6,1433200,246903266.0
2020-09-22,113.07,113.56,110.86,111.51,1023900,172589092.0
2020-09-23,111.77,115.03,111.1,113.59,1319500,224991493.0
2020-09-24,112.42,113.54,109.07,109.4,1128800,188412135.0
2020-09-25,109.73,110.25,107.4,108.02,824300,134527244.0
2020-09-28,108.02,108.67,104.03,104.28,1027600,163307673.0
2020-09-29,104.97,108.11,104.38,107.29,876000,140904687.0
2020-09-30,107.79,108.72,106.24,106.5,603500,97405882.0
2020-10-09,109.06,109.72,108.44,108.88,698800,114628812.0
2020-10-12,109.69,116.88,109.08,115.97,2066300,354174582.0
2020-10-13,115.97,115.97,113.53,114.36,1273300,218964471.0
2020-10-14,113.76,114.93,111.93,111.98,956400,161956273.0
2020-10-15,111.73,116.44,111.54,112.53,1496600,257138987.0
