date,open,high,low,close,volume,amount
2010-02-11,1.96,2.18,1.95,2.06,8391800,279074061.0
2010-02-12,2.1,2.23,2.1,2.18,4148700,142093646.0
2010-02-22,2.11,2.16,2.07,2.13,2458400,82458494.0
2010-02-23,2.13,2.26,2.1,2.23,2756700,95595806.0
2010-02-24,2.2,2.32,2.2,2.31,2368100,84107588.0
2010-02-25,2.31,2.6,2.31,2.47,2686700,101405312.0
2010-02-26,2.47,2.54,2.43,2.45,1757900,67010909.0
2010-03-01,2.45,2.55,2.4,2.5,1031900,39342398.0
2010-03-02,2.5,2.61,2.49,2.51,877800,34141054.0
2010-03-03,2.52,2.59,2.47,2.58,1049400,40581636.0
2010-03-04,2.55,2.84,2.54,2.65,1627300,66441843.0
2010-03-05,2.65,2.75,2.59,2.71,970800,38988512.0
2010-03-08,2.69,3.0,2.69,2.96,1343400,57827446.0
2010-03-09,2.96,3.32,2.9,3.32,2144600,99434772.0
2010-03-10,3.32,3.62,3.21,3.54,2290900,112808366.0
2010-03-11,3.54,3.96,3.47,3.96,2049900,110209542.0
2010-03-12,4.0,4.37,3.63,3.66,4112800,231645470.0
2010-03-15,3.73,3.75,3.47,3.54,2718500,139799308.0
2010-03-16,3.51,3.6,3.35,3.43,2401100,119935700.0
2010-03-17,3.44,3.58,3.36,3.5,2261500,113575279.0
2010-03-18,3.45,3.51,3.35,3.45,1673300,82891607.0
2010-03-19,3.44,3.54,3.31,3.35,1764300,86972162.0
2010-03-22,3.35,3.48,3.32,3.46,1476000,72540333.0
2010-03-23,3.41,3.58,3.37,3.47,1678900,84428793.0
2010-03-24,3.46,3.85,3.43,3.81,2509400,131059361.0
2010-03-25,3.75,4.12,3.71,3.93,2490500,138352553.0
2010-03-26,3.71,3.71,3.47,3.57,2341300,120363557.0
2010-03-29,3.5,3.53,3.34,3.46,1739400,86141779.0
2010-03-30,3.38,3.61,3.38,3.57,1216800,61969646.0
2010-03-31,3.57,3.85,3.54,3.68,1375000,72922542.0
2010-04-01,3.67,3.82,3.58,3.58,1370100,72761539.0
2010-04-02,3.51,3.54,3.42,3.47,1017600,51012849.0
2010-04-06,3.47,3.71,3.46,3.71,1177700,61228087.0
2010-04-07,3.72,3.79,3.64,3.79,1206700,64267915.0
2010-04-08,3.82,4.11,3.73,4.08,2440400,136252547.0
2010-04-09,4.04,4.24,4.03,4.11,1722600,100068316.0
2010-04-12,4.1,4.28,3.95,4.26,1719900,99806692.0
2010-04-13,4.21,4.23,3.77,3.77,1707600,93945081.0
2010-04-14,3.69,3.8,3.62,3.77,876700,46689379.0
2010-04-15,3.76,3.87,3.62,3.84,1274100,68333623.0
2010-04-16,3.78,4.29,3.75,4.29,1898900,111911220.0
2010-04-19,4.35,4.53,4.14,4.28,1781600,108489056.0
2010-04-20,4.24,4.27,3.83,4.25,1051900,60678272.0
2010-04-21,4.27,4.74,4.27,4.58,1479800,93755949.0
2010-04-23,4.69,4.99,4.57,4.59,1089300,71663049.0
2010-04-26,4.53,4.94,4.19,4.9,1277100,80913878.0
2010-04-27,4.56,4.98,4.41,4.67,1084700,70881897.0
2010-04-28,4.59,4.59,4.14,4.14,1290400,77208881.0
2010-04-29,4.08,4.27,3.79,3.8,927900,53070953.0
2010-04-30,3.73,3.85,3.48,3.63,1036100,54192622.0
2010-05-04,3.61,3.78,3.47,3.59,766000,40306721.0
2010-05-05,3.59,4.01,3.59,4.01,1117700,60213711.0
