date,open,close,high,low,volume,amount
2005-01-04,994.77,982.79,994.77,980.66,7412869.0,7285293524.509999
2005-01-05,981.58,992.56,997.32,979.88,7119109.0,7066142829.04
2005-01-06,993.33,983.17,993.79,980.33,6288029.0,6182201471.929999
2005-01-07,983.04,983.96,995.71,979.81,7298694.0,7181622948.240001
2005-01-10,983.76,993.88,993.96,979.79,5791698.0,5756252808.24
2005-01-11,994.19,997.14,999.55,991.09,5849080.0,5832351631.2
2005-01-12,996.65,996.75,996.98,989.26,5014525.0,4998227793.75
2005-01-13,996.08,996.88,999.47,992.7,6044066.0,6025208514.08
2005-01-14,996.62,988.31,1006.46,987.23,7297842.0,7212530227.0199995
2005-01-17,979.11,967.45,981.52,965.08,7288189.0,7050958448.05
2005-01-18,967.37,974.69,974.87,960.29,7311848.0,7126785127.120001
2005-01-19,974.33,967.21,974.33,965.26,6338091.0,6130264996.110001
2005-01-20,963.21,956.25,963.21,952.23,7727106.0,7389045112.5
2005-01-21,954.46,982.6,984.27,943.44,14450060.0,14198628956.0
2005-01-24,1001.85,998.13,1001.85,986.24,14359462.0,14332609806.06
2005-01-25,995.64,997.78,997.95,985.24,9862529.0,9840634185.619999
2005-01-26,995.78,989.93,999.47,988.48,7663290.0,7586120669.7
2005-01-27,987.34,974.63,987.7,973.77,6945365.0,6769161089.95
2005-01-28,974.63,969.21,975.62,965.21,5748807.0,5571801232.47
2005-01-31,965.79,954.88,965.79,953.14,6788706.0,6482399585.28
2005-02-01,953.33,955.95,965.48,952.74,7433067.0,7105640398.650001
2005-02-02,956.7,1006.91,1006.93,956.7,17057338.0,17175204205.58
2005-02-03,1005.56,993.22,1014.19,992.16,16974540.0,16859452618.800001
2005-02-04,992.25,1016.86,1021.03,989.94,15736215.0,16001527584.9
2005-02-16,1023.32,1023.58,1033.25,1018.49,12131293.0,12417348888.94
2005-02-17,1024.43,1020.61,1024.43,1010.48,8968298.0,9153134621.78
2005-02-18,1020.12,1006.06,1021.2,1005.63,8139939.0,8189267030.339999
2005-02-21,1006.69,1025.63,1025.66,1006.69,9886094.0,10139474589.220001
2005-02-22,1026.84,1046.74,1048.68,1024.53,17937842.0,18776256735.08
2005-02-23,1046.81,1043.94,1049.61,1036.62,18696930.0,19518473104.2
2005-02-24,1042.25,1045.46,1045.96,1034.73,14681789.0,15349223127.94
2005-02-25,1046.27,1046.76,1059.48,1045.98,18170004.0,19019633387.04
2005-02-28,1046.21,1039.99,1048.28,1035.04,12971046.0,13489758129.54
2005-03-01,1039.35,1035.93,1042.74,1031.17,9962090.0,10320027893.7
2005-03-02,1036.37,1021.32,1045.76,1021.0,14225136.0,14528415899.52
2005-03-03,1019.88,1027.71,1028.4,1014.75,9203086.0,9458103513.06
2005-03-04,1027.93,1023.67,1031.85,1022.18,8173641.0,8367111082.469999
2005-03-07,1024.48,1029.87,1031.34,1024.48,7932950.0,8169907216.499999
2005-03-08,1033.79,1048.99,1049.29,1032.85,14295794.0,14996144948.06
2005-03-09,1051.26,1046.54,1054.64,1041.98,15327488.0,16040829291.519999
2005-03-10,1046.69,1022.41,1046.69,1019.63,13295953.0,13593915306.73
2005-03-11,1021.08,1027.43,1028.12,1016.93,11476381.0,11791178130.83
2005-03-14,1027.17,1031.03,1041.57,1014.92,14466089.0,14914971741.67
2005-03-15,1030.86,1013.52,1030.94,1011.64,12007493.0,12169834305.36
2005-03-16,1011.85,1003.07,1012.2,995.97,10622783.0,10655394943.810001
2005-03-17,1001.97,992.86,1004.82,992.12,9969011.0,9897832261.460001
2005-03-18,991.89,978.67,996.4,975.7,9652060.0,9446181560.199999
2005-03-21,977.3,981.89,983.18,973.0,7252565.0,7121221047.849999
2005-03-22,981.71,964.02,982.14,959.56,11375717.0,10966418702.34
2005-03-23,962.82,959.01,975.36,955.99,10930054.0,10482031086.539999
2005-03-24,957.43,964.8,965.06,948.53,9260715.0,8934737832.0
2005-03-25,964.25,962.96,966.97,959.06,7107323.0,6844067756.08
2005-03-28,961.65,960.7,961.65,948.81,6669246.0,6407144632.200001
2005-03-29,960.42,955.19,968.12,954.74,7577379.0,7237836647.01
2005-03-30,952.71,937.03,952.71,936.37,8950164.0,8386572172.92
2005-03-31,934.85,942.2,942.37,928.34,7859446.0,7405170021.200001
2005-04-01,941.43,978.15,989.9,937.55,16347505.0,15990312015.75
2005-04-04,968.49,962.17,974.06,956.13,11435093.0,11002503431.81
2005-04-05,960.54,955.6,967.75,953.59,9534537.0,9111203557.2
2005-04-06,955.6,973.67,977.86,948.95,14282421.0,13906364855.07
2005-04-07,975.97,984.73,1000.27,974.31,20754212.0,20437295182.760002
2005-04-08,984.67,1003.45,1003.7,979.53,14762526.0,14813456714.7
2005-04-11,1003.88,995.42,1008.74,992.77,15936066.0,15863078817.72
2005-04-12,993.71,978.7,993.71,978.2,10226193.0,10008375089.1
2005-04-13,987.95,1000.9,1006.5,987.95,16071687.0,16086151518.3
2005-04-14,1004.64,986.98,1006.42,985.58,12945710.0,12777156855.800001
2005-04-15,982.61,974.08,982.61,971.93,10408955.0,10139154886.4
2005-04-18,970.91,963.77,970.91,958.65,8598400.0,8286879968.0
2005-04-19,962.92,965.89,968.87,957.91,9212623.0,8898380429.47
2005-04-20,964.15,950.87,964.15,946.2,8850705.0,8415869863.35
2005-04-21,948.86,943.98,955.55,938.6,9946145.0,9388961957.1
2005-04-22,942.91,939.1,947.91,934.96,10691884.0,10040748264.4
2005-04-25,935.99,930.07,935.99,920.16,11470478.0,10668347473.460001
2005-04-26,928.43,937.08,939.7,924.66,11690471.0,10954906564.68
2005-04-27,938.57,926.6,938.91,925.9,10780611.0,9989314152.6
2005-04-28,923.53,942.07,945.5,914.83,14343486.0,13512567856.02
2005-04-29,940.81,932.4,942.45,929.81,11235419.0,10475904675.6
2005-05-09,934.65,909.17,937.39,909.17,8529115.0,7754415484.549999
2005-05-10,905.54,913.08,913.39,892.31,10494331.0,9582163749.48
2005-05-11,911.84,901.85,917.22,900.44,9042047.0,8154570086.95
2005-05-12,899.97,885.82,900.06,883.51,10228720.0,9060804750.4
2005-05-13,883.51,887.54,898.51,875.58,11244906.0,9980303871.24
2005-05-16,885.39,875.27,885.39,869.33,8224288.0,7198472557.76
2005-05-17,873.08,881.46,888.28,868.21,8772273.0,7732407758.58
2005-05-18,881.14,883.2,890.4,871.82,7878610.0,6958388352.0
2005-05-19,882.84,884.17,888.02,871.29,8149583.0,7205616801.11
2005-05-20,883.51,882.76,891.02,879.18,7226676.0,6379420505.76
2005-05-23,880.28,863.34,880.28,862.1,7279795.0,6284938215.3
