date,open,close,high,low,volume,turnover,amount
2022-04-20,42.46,41.22,47.0,39.3,20563290.0,0.7857,1962506099.9999998
2022-04-21,42.45,45.46,49.76,41.85,12289617.0,0.4696,1264254900.0
2022-04-22,46.11,43.89,47.48,43.08,6816946.0,0.2605,691788800.0
2022-04-25,42.5,40.03,44.27,39.94,6279137.0,0.23989999999999997,591506100.0
2022-04-26,40.39,41.15,43.15,40.39,4310771.0,0.16469999999999999,404029900.0
2022-04-27,41.08,49.57,49.57,40.4,3984596.0,0.1523,400717800.0
2022-04-28,49.99,51.82,53.1,47.04,4527780.0,0.17300000000000001,503893600.0
2022-04-29,52.04,53.54,54.33,50.13,2750298.0,0.1051,319478900.0
2022-05-05,52.73,49.69,52.73,48.15,4954077.0,0.1893,555272200.0
2022-05-06,47.71,48.96,52.87,47.58,2674166.0,0.10220000000000001,299259700.0
2022-05-09,48.46,49.35,50.93,47.72,2795245.0,0.10679999999999999,307787300.0
2022-05-10,48.38,56.61,59.31,48.03,3864609.0,0.1477,469350899.99999994
2022-05-11,56.92,57.53,58.84,54.56,3688534.0,0.1409,467585000.0
2022-05-12,56.57,58.21,65.29,55.65,3934615.0,0.1503,522658900.0
2022-05-13,59.69,59.17,61.96,57.87,2445433.0,0.0934,323373500.0
2022-05-16,60.31,60.05,62.68,58.67,2616900.0,0.1,353597100.0
2022-05-17,60.4,62.17,63.47,60.27,2593453.0,0.09910000000000001,358040400.0
2022-05-18,62.96,63.47,65.24,60.51,2269889.0,0.0867,318918900.0
2022-05-19,62.11,62.55,64.97,61.23,2223891.0,0.085,310840900.0
2022-05-20,61.86,64.85,65.7,61.43,1698441.0,0.0649,239059300.0
2022-05-23,64.9,67.2,69.86,64.87,1636473.0,0.0625,244959900.00000003
2022-05-24,66.83,62.55,67.66,62.1,2162609.0,0.08259999999999999,312313700.0
2022-05-25,63.01,63.01,65.16,61.98,1741835.0,0.0666,245568700.0
2022-05-26,63.01,64.2,64.65,59.36,2233734.0,0.08539999999999999,307963700.0
2022-05-27,64.38,63.83,65.51,62.1,1426573.0,0.0545,201255200.0
2022-05-30,63.01,63.92,64.97,62.55,1080454.0,0.041299999999999996,153044400.0
2022-05-31,63.8,66.02,66.61,63.47,1155085.0,0.0441,167046400.0
2022-06-01,66.02,67.58,71.5,65.75,1549949.0,0.0592,234925600.0
2022-06-02,67.67,73.02,73.66,65.81,2072763.0,0.07919999999999999,323037500.0
2022-06-06,73.52,71.54,74.25,69.18,2242666.0,0.0857,356034900.0
2022-06-07,70.79,72.61,73.09,69.32,1426971.0,0.0545,225102000.0
2022-06-08,73.19,69.57,73.92,67.12,2189665.0,0.0837,339951200.0
2022-06-09,69.54,66.61,69.87,65.65,1445799.0,0.0552,215633100.0
2022-06-10,65.87,68.55,69.65,65.75,1266857.0,0.0484,192588800.0
2022-06-13,67.58,67.17,68.29,64.01,2356948.0,0.0901,346379100.00000006
2022-06-14,65.8,64.88,66.55,63.38,1986774.0,0.0759,285240300.0
2022-06-15,65.16,68.28,70.23,64.83,1647022.0,0.0629,248658800.0
2022-06-16,68.28,69.77,72.6,67.58,1275170.0,0.0487,199663800.0
2022-06-17,68.49,69.38,71.24,68.03,1029975.0,0.0394,158533700.0
2022-06-20,68.72,67.9,69.82,66.93,1215424.0,0.0464,184597900.0
2022-06-21,68.03,69.41,71.5,66.89,1081226.0,0.041299999999999996,165851400.0
2022-06-22,69.86,66.92,70.18,66.26,974303.0,0.037200000000000004,146214500.0
2022-06-23,66.9,72.15,72.38,66.9,1295312.0,0.0495,203291699.99999997
2022-06-24,71.17,69.54,72.87,69.26,1130908.0,0.0432,176983400.0
2022-06-27,70.75,68.04,71.08,67.21,1513800.0,0.057800000000000004,231225400.0
2022-06-28,68.35,69.91,70.69,67.12,1339076.0,0.0512,203420900.0
2022-06-29,69.81,66.89,70.08,66.23,1220534.0,0.0466,183867800.0
2022-06-30,65.75,69.91,70.13,65.75,903365.0,0.0345,137812000.0
2022-07-01,69.53,70.5,74.43,69.41,1415108.0,0.0541,225540500.0
2022-07-04,70.74,67.3,70.78,66.21,1444348.0,0.0552,216389900.00000003
2022-07-05,67.49,66.44,67.83,63.91,1703045.0,0.06509999999999999,248080200.0
2022-07-06,65.85,77.13,79.46,65.85,2841500.0,0.10859999999999999,473405100.0
2022-07-07,78.54,79.69,79.69,75.8,1289868.0,0.0493,222470300.0
2022-07-08,78.32,79.27,82.65,78.09,1400380.0,0.0535,249428600.0
2022-07-11,79.01,82.75,83.56,77.37,1204902.0,0.046,215250400.0
2022-07-12,82.75,81.74,87.58,80.39,1641730.0,0.06269999999999999,303306700.0
2022-07-13,80.47,79.46,82.04,77.2,1437823.0,0.054900000000000004,251024100.0
2022-07-14,77.64,80.18,81.97,76.94,1008292.0,0.0385,179022599.99999997
2022-07-15,79.2,90.42,91.41,79.2,2316032.0,0.0885,447905300.0
2022-07-18,88.71,87.5,90.42,86.95,1010466.0,0.038599999999999995,197054700.0
2022-07-19,87.18,85.44,89.27,84.71,795911.0,0.0304,152321600.0
2022-07-20,86.31,89.0,91.05,86.22,872996.0,0.0334,171883100.0
2022-07-21,87.8,90.88,95.75,87.22,1409069.0,0.0538,289297200.0
2022-07-22,92.62,91.34,93.16,89.1,705500.0,0.027000000000000003,142031900.0
2022-07-25,91.99,91.15,94.4,89.51,499580.0,0.0191,100422600.0
2022-07-26,90.69,91.04,91.56,88.83,442512.0,0.0169,88126600.0
2022-07-27,91.04,93.42,93.92,89.1,618195.0,0.0236,125497900.00000001
2022-07-28,93.62,97.06,98.97,92.48,837822.0,0.032,177041800.0
2022-07-29,97.09,96.31,98.37,93.85,579606.0,0.022099999999999998,122022400.0
2022-08-01,95.45,104.05,105.04,94.79,1213857.0,0.0464,272780500.0
2022-08-02,101.84,106.87,108.23,101.84,1116231.0,0.042699999999999995,261202400.00000003
2022-08-03,108.61,108.64,115.09,105.36,1365918.0,0.052199999999999996,332833200.0
2022-08-04,108.01,111.1,112.35,107.35,672860.0,0.025699999999999997,162430200.0
2022-08-05,112.12,119.7,121.88,109.61,1062434.0,0.0406,273484700.0
2022-08-08,121.18,116.24,121.18,104.19,1372471.0,0.0524,342540300.0
2022-08-09,112.81,117.65,117.84,109.61,781673.0,0.029900000000000003,194541400.0
2022-08-10,113.81,124.51,128.29,113.81,982064.0,0.0375,267232100.0
2022-08-11,124.68,124.92,130.4,124.51,898973.0,0.0344,250717500.0
2022-08-12,125.15,120.77,125.83,119.24,806441.0,0.0308,218930900.0
2022-08-15,119.62,123.46,124.69,119.62,465288.0,0.0178,125641500.0
2022-08-16,123.61,122.02,129.26,121.08,810247.0,0.031,220867400.00000003
2022-08-17,121.49,122.34,123.27,117.47,907915.0,0.0347,240371600.0
2022-08-18,120.09,125.84,130.63,120.09,670937.0,0.0256,187865600.0
2022-08-19,126.11,115.14,128.87,114.93,1123934.0,0.0429,296461400.0
2022-08-22,114.55,118.75,122.41,114.55,715985.0,0.0274,189737500.0
2022-08-23,119.01,116.29,120.8,115.55,614745.0,0.0235,159018100.0
2022-08-24,117.2,107.55,117.42,105.63,1549465.0,0.0592,373095100.0
2022-08-25,108.59,104.59,110.85,104.13,807477.0,0.030899999999999997,190415500.0
2022-08-26,105.18,103.08,107.53,102.38,499780.0,0.0191,115899700.0
2022-08-29,111.54,123.88,123.88,110.98,878144.0,0.0329,232204600.0
2022-08-30,129.43,126.29,129.71,120.12,1447526.0,0.0542,402411000.0
2022-08-31,126.11,117.32,126.3,116.27,1155201.0,0.0433,304940100.0
2022-09-01,118.79,119.2,125.0,117.84,1227662.0,0.046,326156400.0
2022-09-02,118.45,119.72,124.68,117.41,1083938.0,0.0406,291418600.0
2022-09-05,116.24,124.89,126.52,112.06,1459381.0,0.0546,390177699.99999994
2022-09-06,123.07,124.33,126.52,122.15,704599.0,0.0264,194041900.0
2022-09-07,125.1,131.45,133.78,124.33,1393796.0,0.052199999999999996,405643100.0
2022-09-08,130.3,136.11,138.63,129.71,1120484.0,0.042,331891900.0
2022-09-09,136.06,137.02,142.45,132.91,1194207.0,0.0447,362846200.0
2022-09-13,136.86,137.72,142.48,135.65,693428.0,0.026000000000000002,211975300.0
2022-09-14,137.02,147.08,147.17,136.11,1060238.0,0.0397,334651800.0
2022-09-15,146.61,145.34,146.62,139.96,1019328.0,0.0382,320535300.0
2022-09-16,143.37,142.02,146.17,137.73,795671.0,0.0298,250191900.0
2022-09-19,140.74,140.68,148.45,139.54,857229.0,0.0321,269774100.0
2022-09-20,140.97,139.49,142.23,137.72,670182.0,0.025099999999999997,205953800.0
2022-09-21,138.85,136.84,141.82,134.28,833882.0,0.031200000000000002,253367700.0
2022-09-22,135.2,138.13,141.49,133.96,780866.0,0.0292,238509900.00000003
2022-09-23,137.97,136.54,140.62,133.14,655015.0,0.0245,196721900.0
2022-09-26,136.11,138.28,139.76,132.26,964821.0,0.0361,288497500.0
2022-09-27,137.28,143.01,147.91,137.28,965836.0,0.0362,305753800.0
2022-09-28,141.57,138.61,143.59,132.57,896550.0,0.0336,269885400.0
2022-09-29,137.81,141.67,142.51,134.45,516325.0,0.019299999999999998,158501300.0
2022-09-30,140.05,135.43,141.38,134.61,540766.0,0.0202,163006100.0
2022-10-10,130.63,111.44,130.63,108.7,2756205.0,0.1032,698711300.0
2022-10-11,112.58,92.97,112.86,89.96,3641539.0,0.1363,800184100.0
2022-10-12,90.93,100.95,104.27,87.36,3447098.0,0.1291,723430500.0
2022-10-13,99.14,104.84,108.7,97.28,2012813.0,0.0754,464899600.0
2022-10-14,107.14,101.59,107.33,95.22,1886503.0,0.0706,419483800.0
2022-10-17,101.38,111.49,117.32,100.21,1994225.0,0.0747,479173100.0
2022-10-18,111.44,108.17,114.18,107.78,1250942.0,0.046799999999999994,306568600.0
2022-10-19,107.76,107.67,113.7,107.33,1170115.0,0.0438,284707300.0
2022-10-20,105.96,123.72,129.39,103.22,4387814.0,0.159,1149968800.0
2022-10-21,120.43,118.07,126.84,107.78,3107074.0,0.11259999999999999,773385000.0
2022-10-24,116.73,120.81,125.82,116.22,1941453.0,0.0704,516128300.0
2022-10-25,120.48,119.99,124.09,118.29,1033557.0,0.0375,275859900.0
2022-10-26,118.57,120.21,123.88,116.46,1281682.0,0.04650000000000001,342016700.0
2022-10-27,119.11,118.84,124.46,116.73,1330701.0,0.0482,352624700.0
2022-10-28,117.37,122.39,128.57,116.46,1501360.0,0.054400000000000004,412948900.0
2022-10-31,123.32,123.72,130.07,121.8,1131300.0,0.040999999999999995,312053500.0
2022-11-01,122.38,123.32,126.36,119.21,1185549.0,0.043,319265200.0
2022-11-02,123.21,127.43,128.8,121.95,1429597.0,0.0518,400304500.0
2022-11-03,126.51,129.95,132.63,125.15,1153284.0,0.0418,329781800.0
2022-11-04,128.82,124.9,129.92,119.24,2444873.0,0.0886,662650399.9999999
2022-11-07,121.49,118.4,125.21,118.29,1943052.0,0.0704,514410600.0
2022-11-08,117.2,120.23,121.33,116.37,1039039.0,0.0377,272589400.0
2022-11-09,119.23,113.7,121.49,113.7,1246888.0,0.0452,321548800.0
2022-11-10,112.35,104.8,117.14,103.9,2774561.0,0.10060000000000001,660851300.0
2022-11-11,112.12,109.49,115.55,108.73,1698400.0,0.0616,420301800.0
2022-11-14,106.41,103.67,108.21,102.76,1710220.0,0.062,396502100.0
2022-11-15,105.47,109.96,114.63,102.76,2027612.0,0.0735,494688100.0
2022-11-16,110.53,107.05,113.23,105.98,1076373.0,0.039,259868500.0
2022-11-17,107.56,108.47,109.83,101.47,1376896.0,0.0499,319294800.0
2022-11-18,108.24,103.8,109.1,103.67,1106205.0,0.0401,258654800.0
2022-11-21,103.74,105.57,107.77,103.44,940241.0,0.0341,219266900.0
2022-11-22,105.58,101.23,105.58,100.77,1076488.0,0.039,242585700.0
2022-11-23,99.03,104.02,104.02,97.58,1719122.0,0.0623,385643200.0
2022-11-24,103.22,106.05,108.21,102.08,1488114.0,0.053899999999999997,345937600.0
2022-11-25,105.33,101.94,109.41,100.27,2460018.0,0.0892,564279300.0
2022-11-28,98.2,98.19,104.59,97.97,2111179.0,0.0765,467367300.00000006
2022-11-29,98.25,94.81,98.9,94.51,1934666.0,0.0701,410118300.0
2022-11-30,94.69,95.46,96.99,94.03,1096107.0,0.0397,231304000.0
2022-12-01,97.78,99.23,101.48,95.95,1477567.0,0.0536,324233100.0
2022-12-02,99.56,100.7,102.68,98.19,1141696.0,0.0414,252945300.0
2022-12-05,102.76,101.57,103.06,97.05,1285732.0,0.0466,282242700.0
2022-12-06,100.47,107.83,110.98,99.57,2258289.0,0.0819,537977600.0
2022-12-07,106.67,107.03,108.47,103.61,1528304.0,0.0554,358924000.0
2022-12-08,106.01,102.8,106.82,101.84,1349178.0,0.0489,309577200.0
2022-12-09,103.21,108.69,115.44,103.08,2202073.0,0.07980000000000001,533058300.0
2022-12-12,108.7,112.08,115.55,108.32,1529456.0,0.0554,376890199.99999994
2022-12-13,112.1,107.28,112.1,107.15,1129205.0,0.0409,272026700.0
2022-12-14,116.01,111.62,124.69,109.61,3003965.0,0.10890000000000001,758244600.0000001
2022-12-15,112.54,109.1,114.61,106.41,1803580.0,0.0654,440441700.0
2022-12-16,108.7,106.44,108.7,104.17,1314001.0,0.047599999999999996,308065000.0
2022-12-19,104.59,101.91,107.72,100.93,1214397.0,0.044000000000000004,277437800.0
2022-12-20,100.38,99.72,104.33,99.05,783748.0,0.028399999999999998,174835000.0
2022-12-21,99.73,96.8,100.84,94.21,1058050.0,0.0383,225107200.0
2022-12-22,96.93,95.88,98.29,94.55,647510.0,0.0235,137871000.0
2022-12-23,94.79,90.04,95.84,88.56,1469474.0,0.0533,294495900.0
2022-12-26,90.57,94.63,95.26,89.87,1168045.0,0.042300000000000004,242256400.0
2022-12-27,94.08,98.42,99.31,93.68,885052.0,0.0321,188953600.0
2022-12-28,98.19,100.37,100.69,96.1,901358.0,0.0327,196706200.0
2022-12-29,99.56,99.23,100.57,96.99,697353.0,0.0253,152775200.0
2022-12-30,100.25,98.08,101.28,96.18,779317.0,0.0282,168876699.99999997
2023-01-03,96.82,101.16,101.62,96.01,1189303.0,0.0431,260434199.99999997
2023-01-04,102.61,95.36,106.4,94.02,1904140.0,0.069,409431500.0
2023-01-05,94.53,92.97,95.24,91.61,2525483.0,0.0915,521252000.0
2023-01-06,92.77,94.09,95.45,91.43,1184734.0,0.0429,246270099.99999997
2023-01-09,94.75,97.29,98.65,93.16,1128053.0,0.0409,240387400.00000003
2023-01-10,97.45,99.06,99.72,95.22,1179773.0,0.042800000000000005,257700099.99999997
2023-01-11,100.47,100.57,106.4,99.56,2041160.0,0.07400000000000001,466306000.0
2023-01-12,100.47,99.55,101.56,96.51,1129555.0,0.0409,246594400.0
2023-01-13,99.35,101.65,104.13,98.06,1011564.0,0.036699999999999997,226612300.0
2023-01-16,99.79,108.6,110.05,99.68,1686640.0,0.0611,396441800.0
2023-01-17,108.37,115.96,116.92,108.37,1915813.0,0.0694,484491600.00000006
2023-01-18,116.87,114.13,117.71,113.57,835080.0,0.030299999999999997,211924400.0
2023-01-19,114.4,120.81,121.29,113.27,1044045.0,0.0378,273078900.0
2023-01-20,120.11,117.29,121.26,116.07,970900.0,0.0352,253166400.0
2023-01-30,118.43,113.45,119.21,110.25,1752035.0,0.0635,439124700.0
2023-01-31,113.5,106.4,114.64,106.19,1700483.0,0.0616,407090199.99999994
2023-02-01,106.53,108.54,111.37,106.53,1182862.0,0.0429,283774700.0
2023-02-02,109.6,113.02,116.75,108.54,1517953.0,0.055,378073800.0
2023-02-03,112.81,111.42,114.33,110.11,720414.0,0.026099999999999998,177873700.0
2023-02-06,110.74,110.25,113.79,108.79,840571.0,0.0305,205565800.00000003
2023-02-07,109.88,107.33,112.35,106.25,1180885.0,0.042800000000000005,282687800.0
2023-02-08,107.66,106.41,110.07,105.73,737446.0,0.026699999999999998,175117599.99999997
2023-02-09,104.59,111.24,112.2,104.18,989558.0,0.0359,239078300.00000003
2023-02-10,109.9,113.07,114.13,109.15,984238.0,0.035699999999999996,244016100.0
