date,open,high,low,close,volume,amount,outstanding_share,turnover
2019-12-26,47.92,52.8,47.73,49.83,21117832.0,1098028701.0,27227108.0,0.7756178878785069
2019-12-27,50.21,50.21,44.1,46.0,15518380.0,755728033.0,27227108.0,0.5699606436350125
2019-12-30,45.03,45.03,40.98,41.77,9017010.0,399043824.0,27227108.0,0.3311776630848932
2019-12-31,41.59,43.19,40.4,42.02,6111372.0,269896818.0,27227108.0,0.22445909422330126
2020-01-02,42.35,44.65,41.2,43.41,6886035.0,308760011.0,27227108.0,0.2529109959089302
2020-01-03,43.6,44.33,42.24,43.12,6400874.0,288602325.0,27227108.0,0.23509195321074863
2020-01-06,42.75,48.75,42.74,48.58,11181111.0,535652828.0,27227108.0,0.4106609853679649
2020-01-07,47.91,51.42,47.51,48.77,8811434.0,454439477.0,27227108.0,0.3236272467865482
2020-01-08,48.58,53.9,48.3,52.7,8115082.0,436277059.0,27227108.0,0.2980515594972481
2020-01-09,50.94,53.76,50.6,53.2,6104187.0,332544148.0,27227108.0,0.2241952028103756
2020-01-10,53.26,54.5,51.75,52.18,3164757.0,174834753.0,27227108.0,0.11623551792573783
2020-01-13,51.75,58.93,51.72,58.45,6118253.0,352245930.0,27227108.0,0.2247118202932166
2020-01-14,58.45,66.89,57.06,60.76,6372628.0,407417551.0,27227108.0,0.23405453124143777
2020-01-15,61.63,64.59,60.93,63.13,3550457.0,231575174.0,27227108.0,0.13040154687012664
2020-01-16,63.39,72.16,62.41,71.96,5940161.0,418308132.0,27227108.0,0.21817083915045254
2020-01-17,70.43,74.72,68.04,71.65,5201901.0,387713236.0,27227108.0,0.19105595056221175
2020-01-20,70.53,78.58,70.14,72.23,4483795.0,344902521.0,27227108.0,0.1646812801418351
2020-01-21,70.58,71.37,65.93,67.08,4367639.0,310541062.0,27227108.0,0.16041509072502302
2020-01-22,66.63,74.72,64.11,72.63,3761684.0,274175259.0,27227108.0,0.13815951367291746
2020-01-23,70.79,72.63,63.82,67.08,3352266.0,239995507.0,27227108.0,0.12312236760510885
2020-02-03,55.87,62.44,55.69,55.94,3727615.0,226935320.0,27227108.0,0.13690822396561544
2020-02-04,57.97,65.31,57.97,64.11,3153030.0,205309726.0,27227108.0,0.11580480747349296
