date,open,close,high,low,volume,turnover,amount
2016-03-03,0.32,0.64,0.64,0.32,9700.0,0.0005,296100.0
2016-03-04,0.83,0.83,0.83,0.83,3915.0,0.0002,133100.0
2016-03-07,1.04,1.04,1.04,1.04,1800.0,0.0001,67300.0
2016-03-08,1.27,1.27,1.27,1.27,13300.0,0.0007000000000000001,547300.0
2016-03-09,1.53,1.53,1.53,1.53,25900.0,0.0013,1172500.0
2016-03-10,1.81,1.81,1.81,1.81,18165.0,0.0009,904599.9999999999
2016-03-11,2.11,2.11,2.11,2.11,34635.0,0.0018,1897300.0
2016-03-14,2.45,2.45,2.45,2.45,67982.0,0.0034999999999999996,4096600.0000000005
2016-03-15,2.83,2.83,2.83,2.83,194024.0,0.01,12861900.0
2016-03-16,3.24,3.24,3.24,3.24,714499.0,0.0368,52101300.0
2016-03-17,3.24,3.69,3.69,3.06,13608544.0,0.7015,1026273700.0
2016-03-18,3.49,3.67,3.79,3.45,10974220.0,0.5657,863982800.0
2016-03-21,3.73,3.71,3.99,3.63,7868909.0,0.4056,638284000.0
2016-03-22,3.68,3.86,4.16,3.67,8680321.0,0.4474,723377300.0
2016-03-23,3.8,3.82,3.83,3.64,6062705.0,0.3125,491890899.99999994
2016-03-24,3.72,3.82,3.98,3.65,6011420.0,0.3099,491307400.0
2016-03-25,3.8,4.12,4.22,3.74,7198564.0,0.3711,615087600.0
2016-03-28,4.17,3.85,4.28,3.78,6483135.0,0.3342,560086100.0
2016-03-29,3.8,3.64,3.97,3.57,5201470.0,0.2681,422361500.0
2016-03-30,3.71,3.83,3.85,3.62,4040756.0,0.20829999999999999,326943400.0
2016-03-31,3.88,4.08,4.08,3.84,4993540.0,0.25739999999999996,423567500.0
2016-04-01,4.05,4.31,4.48,3.99,6214631.0,0.32030000000000003,556181500.0
2016-04-05,4.21,4.43,4.46,4.11,4786936.0,0.24670000000000003,430438399.99999994
2016-04-06,4.36,4.43,4.64,4.29,4403511.0,0.22699999999999998,406497300.00000006
2016-04-07,4.37,4.16,4.42,4.12,3957435.0,0.204,352272400.0
2016-04-08,4.1,4.38,4.39,4.05,3499312.9999999995,0.1804,312721000.0
2016-04-11,4.38,4.56,4.64,4.3,4213169.0,0.21719999999999998,388228200.0
2016-04-12,4.48,4.17,4.5,3.99,4139251.9999999995,0.2134,371676600.00000006
2016-04-13,4.17,4.17,4.3,4.16,2867429.0,0.1478,255044600.0
2016-04-14,4.21,4.52,4.59,4.21,5353107.0,0.2759,493513900.0
2016-04-15,4.45,4.31,4.48,4.26,4042380.0000000005,0.2084,367232500.0
2016-04-18,4.24,4.2,4.24,4.04,2240158.0,0.1155,196490500.0
2016-04-19,4.2,4.41,4.45,4.2,3183599.0,0.1641,288322400.0
2016-04-20,4.42,4.05,4.45,3.86,4172286.0,0.2151,364165300.0
2016-04-21,3.94,3.81,4.09,3.81,2398307.0,0.12359999999999999,202766100.0
2016-04-22,3.76,3.83,3.87,3.7,2189925.0,0.11289999999999999,178782200.0
2016-04-25,3.8,3.79,3.83,3.6,1632623.0,0.0842,131758600.0
2016-04-26,3.74,3.9,3.92,3.74,2072816.0,0.10679999999999999,170910900.0
2016-04-27,3.91,3.76,3.93,3.74,1906684.9999999998,0.0983,157945600.0
2016-04-28,3.7,3.77,3.77,3.58,1988091.0,0.1025,158751000.0
2016-04-29,3.71,3.75,3.81,3.68,1294911.0,0.0667,105349400.0
2016-05-03,3.76,3.92,3.94,3.68,1908779.0,0.0984,158221000.0
2016-05-04,3.88,3.96,3.99,3.86,2155663.0,0.11109999999999999,181903000.0
2016-05-05,3.96,4.0,4.04,3.86,1737400.0,0.08960000000000001,147448100.0
2016-05-06,3.98,3.75,4.1,3.75,3141657.0,0.16190000000000002,263799100.0
2016-05-09,3.62,3.55,3.67,3.53,1828903.0,0.0943,143785800.0
2016-05-10,3.54,3.48,3.58,3.46,1262918.0,0.06509999999999999,97903500.0
2016-05-11,3.52,3.31,3.55,3.3,1507349.0,0.07769999999999999,114281800.0
2016-05-12,3.22,3.24,3.27,3.09,1346885.0,0.0694,96673900.0
2016-05-13,3.19,3.2,3.3,3.16,1005293.0,0.0518,73298700.0
2016-05-16,3.12,3.3,3.31,3.12,1018115.0,0.0525,74666900.0
2016-05-17,3.32,3.35,3.41,3.26,1386299.0,0.07150000000000001,102915700.0
2016-05-18,3.29,3.06,3.3,3.01,1601030.0,0.0825,113775600.0
2016-05-19,3.06,3.09,3.21,3.06,1177279.0,0.060700000000000004,84226500.0
2016-05-20,3.06,3.38,3.38,3.02,2337722.0,0.12050000000000001,170799000.0
2016-05-23,3.42,3.58,3.68,3.38,2655783.0,0.1369,207354800.0
2016-05-24,3.54,3.49,3.54,3.4,1833405.0,0.09449999999999999,140316100.0
2016-05-25,3.57,3.57,3.74,3.52,2542099.0,0.131,201802000.0
2016-05-26,3.57,4.05,4.06,3.42,3301962.9999999995,0.1702,266411600.0
2016-05-27,4.04,3.91,4.08,3.87,2757916.0,0.1422,233823800.0
2016-05-30,3.81,4.08,4.2,3.81,3182554.0,0.16399999999999998,274664400.0
2016-05-31,4.07,4.27,4.44,4.01,3727858.9999999995,0.19219999999999998,330093800.0
2016-06-01,4.25,4.25,4.42,4.2,3325362.9999999995,0.1714,299167600.0
2016-06-02,4.23,4.42,4.42,4.19,3143765.0,0.16210000000000002,283666000.0
2016-06-03,4.4,4.5,4.77,4.37,4163982.0,0.2146,391075700.0
2016-06-06,4.52,4.43,4.61,4.24,2974474.0,0.1533,274718700.0
2016-06-07,4.42,4.77,4.79,4.4,3642072.0,0.1877,346977900.0
2016-06-08,4.67,4.46,4.67,4.38,3584223.0000000005,0.1848,334556700.0
2016-06-13,4.23,3.88,4.33,3.88,3665476.9999999995,0.1889,317422700.0
2016-06-14,3.86,3.97,4.02,3.86,2033643.0,0.1048,171165099.99999997
2016-06-15,3.91,4.35,4.43,3.88,3089873.0,0.1593,276349100.0
2016-06-16,4.31,4.91,4.91,4.3,4692037.0,0.2419,452410300.0
2016-06-17,5.02,5.15,5.22,4.81,5068074.0,0.2612,515487500.0
2016-06-20,5.08,5.29,5.63,4.92,4818884.0,0.2484,511935800.0
2016-06-21,5.26,5.4,5.85,5.2,5715929.0,0.29460000000000003,626239500.0
2016-06-22,5.34,5.73,5.78,5.24,4830713.0,0.249,533651800.0
2016-06-23,5.67,5.61,5.84,5.43,3442456.0,0.17739999999999997,382825199.99999994
2016-06-24,5.54,5.85,6.08,5.1,4861938.0,0.2506,538564100.0
2016-06-27,5.91,6.56,6.56,5.91,2235016.0,0.1152,274565000.0
2016-06-28,7.09,7.15,7.34,6.84,6590496.000000001,0.3397,895439800.0
2016-06-29,7.15,7.77,7.99,7.0,5872159.0,0.30269999999999997,829333600.0
2016-07-04,6.98,7.46,7.66,6.98,5476481.0,0.2823,751822800.0
2016-07-05,7.43,7.46,7.72,7.18,4601128.0,0.2372,645438500.0
2016-07-06,7.27,6.75,7.32,6.61,5561926.0,0.2867,733262400.0
2016-07-07,6.78,6.83,6.89,6.56,3013095.0,0.1553,388965800.0
2016-07-08,6.82,6.49,6.88,6.47,2845935.0,0.1467,365649600.0
2016-07-11,6.4,6.13,6.41,5.97,3406308.0,0.17559999999999998,408739800.00000006
2016-07-12,6.13,6.36,6.37,5.86,2941063.0,0.1516,353711100.0
2016-07-13,6.26,6.48,6.76,6.23,3510230.0000000005,0.1809,442036200.0
