date,open,high,low,close,volume,amount,outstanding_share,turnover
2017-06-15,5.45,6.54,5.45,6.54,15401.0,102269.0,54690000.0,0.00028160541232400804
2017-06-16,7.2,7.2,7.2,7.2,5176.0,38044.0,54690000.0,9.464253062717133e-05
2017-06-19,7.92,7.92,7.92,7.92,4800.0,38832.0,54690000.0,8.77674163466813e-05
2017-06-20,8.71,8.71,8.71,8.71,3108.0,27661.0,54690000.0,5.682940208447614e-05
2017-06-21,9.58,9.58,9.58,9.58,8926.0,87386.0,54690000.0,0.00016321082464801608
2017-06-22,10.54,10.54,10.54,10.54,34704.0,373762.0,54690000.0,0.0006345584201865057
2017-06-23,11.6,11.6,11.6,11.6,44678.0,529434.0,54690000.0,0.0008169317974035473
2017-06-26,12.77,12.77,12.77,12.77,50054.0,652704.0,54690000.0,0.0009152313037118303
2017-06-27,14.04,14.04,14.04,14.04,115256.0,1652771.0,54690000.0,0.0021074419455110625
2017-06-28,15.44,15.44,15.44,15.44,152002.0,2397072.0,54690000.0,0.002779338087401719
2017-06-29,16.99,16.99,16.99,16.99,127151.0,2206070.0,54690000.0,0.002324940574145182
2017-06-30,18.69,18.69,18.69,18.69,239793.0,4577648.0,54690000.0,0.0043845858475041145
2017-07-03,20.56,20.56,20.56,20.56,338828.0,7115388.0,54690000.0,0.0061954287803986105
2017-07-04,22.61,22.61,22.61,22.61,603481.0,13940411.0,54690000.0,0.011034576705064912
2017-07-05,24.88,24.88,24.88,24.88,1145052.0,29095771.0,54690000.0,0.02093713658804169
2017-07-06,27.36,27.36,27.36,27.36,464173.0,12973635.0,54690000.0,0.008487346864143354
2017-07-07,30.1,30.1,30.1,30.1,7850392.0,241399554.0,54690000.0,0.14354346315597002
2017-07-10,31.72,31.72,28.49,28.86,31974187.0,982818166.0,54690000.0,0.5846441214115926
2017-07-11,28.38,29.14,26.33,26.82,20952947.0,587487634.0,54690000.0,0.38312208813311394
2017-07-12,27.12,28.71,26.35,28.23,18265817.0,514732411.0,54690000.0,0.33398824282318523
2017-07-13,27.77,27.97,25.77,25.94,14243996.0,387852123.0,54690000.0,0.2604497348692631
2017-07-14,25.56,26.63,25.46,25.61,7751291.0,205630006.0,54690000.0,0.14173141342110074
2017-07-17,24.38,24.9,23.05,23.05,12052517.0,292309035.0,54690000.0,0.22037880782592795
2017-07-18,22.86,23.71,22.55,23.02,8370486.0,198751839.0,54690000.0,0.1530533187054306
